Horror Wiki Index,char index,actor,character,stripped character,killed,actor url,race,gender
115,8,Nancy Stephens,Marion Chambers,marion chambers,False,,Unlisted,Unlisted
115,9,Arthur Malet,Graveyard Keeper,graveyard keeper,False,http://www.nndb.com/people/233/000062047/,White,Male
115,10,Mickey Yablans,Richie,richie,False,,Unlisted,Unlisted
115,11,Brent Le Page,Lonnie Elamb,lonnie elamb,False,,Unlisted,Unlisted
115,12,Adam Hollander,Keith,keith,False,,Unlisted,Unlisted
115,13,Robert Phalen,Dr. Terence Wynn,dr terence wynn,False,,Unlisted,Unlisted
115,14,Heather Masters,Circus Baby,circus baby,False,,Unlisted,Unlisted
115,15,Kellen Goff,Funtime Freddy,funtime freddy,False,,Unlisted,Unlisted
115,16,Erika Anderson,Funtime Chica,funtime chica,False,,Unlisted,Unlisted
115,17,Nick Castle,Michael Myers,michael myers,False,http://www.nndb.com/people/401/000173879/,White,Male
115,18,Daryl Hannah,Nancy Archer,nancy archer,False,http://www.nndb.com/people/811/000025736/,White,Female
115,19,Daniel Baldwin,Harry Archer,harry archer,False,http://www.nndb.com/people/570/000025495/,White,Male
115,20,James Lorinz,Jeffrey,jeffrey,False,,Unlisted,Unlisted
115,21,Charlotte Helmkamp,Honey,honey,False,,Unlisted,Unlisted
115,22,Jennifer Delora,Angel,angel,False,,Unlisted,Unlisted
115,23,Lia Chang,Crystal,crystal,False,,Asian/Indian,Female
115,24,Kimberly Taylor,Amber,amber,False,,Unlisted,Unlisted
115,25,Stephanie Ryan,Anise,anise,False,,Unlisted,Unlisted
115,26,Heather Hunter,Chartreuse,chartreuse,False,http://www.nndb.com/people/786/000025711/,Black,Female
115,27,Gittan Goding,Sugar,sugar,False,,Unlisted,Unlisted
115,28,Sandy Colosimo,Monkey,monkey,False,,Unlisted,Unlisted
115,29,Joseph Gonzalez,Zorro,zorro,False,,Unlisted,Unlisted
115,30,Shirley Stoler,Spike,spike,False,,Unlisted,Unlisted
806,0,Malcolm McDowell,Samuel Loomis,samuel loomis,False,http://www.nndb.com/people/485/000024413/,White,Male
806,1,Sheri Moon Zombie,Deborah Myers,deborah myers,True,http://www.nndb.com/people/194/000160711/,White,Female
806,2,Tyler Mane,"Michael Myers
Daeg Faerch as Michael Myers",michael myers daeg faerch as michael myers,False,http://www.nndb.com/people/193/000162704/,White,Male
806,3,Daeg Faerch,Michael Myers,michael myers,True,,White,Other
806,4,Scout Taylor-Compton,Laurie Strode / Angel Myers,laurie strode angel myers,False,,Unlisted,Unlisted
806,5,Brad Dourif,Sheriff Leigh Brackett,sheriff leigh brackett,False,http://www.nndb.com/people/591/000056423/,White,Male
806,6,Danielle Harris,Annie Brackett,annie brackett,False,http://www.nndb.com/people/791/000109464/,White,Female
806,7,William Forsythe,Ronnie White,ronnie white,True,http://www.nndb.com/people/680/000022614/,White,Male
806,8,Kristina Klebe,Lynda Van Der Klok,lynda van der klok,True,,Unlisted,Unlisted
806,9,Skyler Gisondo,Tommy Doyle,tommy doyle,False,,Hispanic,Male
806,10,Jenny Gregg Stewart,Lindsey Wallace,lindsey wallace,False,,Unlisted,Unlisted
806,11,Dee Wallace,Cynthia Strode,cynthia strode,True,http://www.nndb.com/people/293/000068089/,White,Female
806,12,Pat Skipper,Mason Strode,mason strode,True,,White,Other
806,13,Nick Mennell,Bob Simms,bob simms,True,,Unlisted,Unlisted
806,14,Max Van Ville,Paul Freedman,paul freedman,True,,White,Male
806,15,Hanna R. Hall,Judith Myers,judith myers,True,,Unlisted,Unlisted
806,16,Adam Weisman,Steve Haley,steve haley,True,,Unlisted,Unlisted
806,17,Daryl Sabara,Wesley Rhodes,wesley rhodes,True,http://www.nndb.com/people/865/000131472/,White,Male
806,18,Ken Foree,"Joseph ""Big Joe"" Grizzley",joseph big joe grizzley,False,http://www.nndb.com/people/075/000131679/,Black,Male
374,0,Donald Pleasence,Dr. Sam Loomis,dr sam loomis,False,http://www.nndb.com/people/611/000032515/,White,Male
374,1,Ellie Cornell,Rachel Carruthers,rachel carruthers,False,,Unlisted,Unlisted
374,2,Danielle Harris,Jamie Lloyd,jamie lloyd,False,http://www.nndb.com/people/791/000109464/,White,Female
374,3,George P. Wilbur,"Michael Myers
Tom Morga as Michael Myers",michael myers tom morga as michael myers,False,,Unlisted,Unlisted
374,4,Tom Morga,Michael Myers,michael myers,False,,Hispanic,Male
374,5,Erik Preston,young Michael Myers,young michael myers,False,,Unlisted,Unlisted
374,6,Michael Pataki,Dr. Hoffman,dr hoffman,False,,Unlisted,Unlisted
374,7,Beau Starr,Sheriff Ben Meeker,sheriff ben meeker,False,,White,Male
374,8,Kathleen Kinmont,Kelly Meeker,kelly meeker,True,http://www.nndb.com/people/849/000161366/,White,Female
374,9,Sasha Jenson,Brady,brady,True,,Unlisted,Unlisted
374,10,Leslie L. Rohland,Lindsey Wallace,lindsey wallace,False,,Unlisted,Unlisted
374,11,Gene Ross,Earl Ford,earl ford,True,,Unlisted,Unlisted
374,12,Carmen Filpi,Rev. Jackson P. Sayer,rev jackson p sayer,False,,White,Female
374,13,Raymond O'Connor,Security Guard,security guard,False,,Unlisted,Unlisted
374,14,Jeff Olson,Richard Carruthers,richard carruthers,False,,White,Male
374,15,Karen Alston,Darlene Carruthers,darlene carruthers,False,,Unlisted,Unlisted
374,16,Nancy Borgenicht,Woman Attendant,woman attendant,False,,Unlisted,Unlisted
374,17,David Jansen,Man Attendant,man attendant,False,,Unlisted,Unlisted
374,18,George Sullivan,Deputy Logan,deputy logan,True,,Unlisted,Unlisted
374,19,Michael Ruud,"Alan ""Big Al"" Gateway",alan big al gateway,False,,Unlisted,Unlisted
374,20,Eric Hart,Orrin Gateway,orrin gateway,True,,Unlisted,Unlisted
374,21,Logan Field,Unger,unger,True,,Unlisted,Unlisted
374,22,Alan B. McElroy,State Trooper at Ambulance Crash Site,state trooper at ambulance crash site,False,,Unlisted,Unlisted
374,23,Danny Ray,Tommy Doyle,tommy doyle,False,,Unlisted,Unlisted
404,0,Donald Pleasence,Dr. Sam Loomis,dr sam loomis,False,http://www.nndb.com/people/611/000032515/,White,Male
404,1,Danielle Harris,Jamie Lloyd,jamie lloyd,False,http://www.nndb.com/people/791/000109464/,White,Female
404,2,Ellie Cornell,Rachel Carruthers,rachel carruthers,True,,Unlisted,Unlisted
404,3,Beau Starr,Sheriff Ben Meeker,sheriff ben meeker,True,,White,Male
404,4,Wendy Kaplan,Tina Williams,tina williams,True,,Unlisted,Unlisted
404,5,Tamara Glynn,Samantha Thomas,samantha thomas,True,,Unlisted,Unlisted
404,6,Don Shanks,Michael Myers/Terence Wynn,michael myers terence wynn,False,,Unlisted,Unlisted
404,7,Jeffrey Landman,Billy Hill,billy hill,False,,Unlisted,Unlisted
404,8,Jonathan Chapin,"Michael/""Mikey""",michael mikey,False,,Unlisted,Unlisted
404,9,Matthew Walker,Spitz,spitz,True,,White,Male
